"source","target","weight","type"
"555","32",1.33333333333333,"undirected"
"555","34",1.65217391304348,"undirected"
"555","391",1.29855072463768,"undirected"
"555","425",1.21739130434783,"undirected"
"555","47",1.29765886287625,"undirected"
"555","540",1.57830308146897,"undirected"
"555","554",1.6231884057971,"undirected"
"555","556",1.56521739130435,"undirected"
"555","558",1.27879325643301,"undirected"
"555","561",1.30950080515298,"undirected"
"555","575",1.78260869565217,"undirected"
"555","577",1.34782608695652,"undirected"
"555","58",1.3304347826087,"undirected"
"555","588",0.973084886128364,"undirected"
"555","591",1.54037267080745,"undirected"
"555","595",1.11594202898551,"undirected"
"555","619",1.50127877237852,"undirected"
"555","637",1.30434782608696,"undirected"
"555","643",0.956521739130435,"undirected"
"555","644",0.944099378881987,"undirected"
"555","652",1.47826086956522,"undirected"
"555","654",1.47826086956522,"undirected"
"555","655",1.47826086956522,"undirected"
"555","662",1.60869565217391,"undirected"
"555","676",1.26086956521739,"undirected"
"555","68",1.32411067193676,"undirected"
"555","696",1.32608695652174,"undirected"
"555","711",0.695652173913043,"undirected"
"555","721",0.940503432494279,"undirected"
"555","723",0.94927536231884,"undirected"
"555","724",0.963210702341137,"undirected"
"555","740",1.50434782608696,"undirected"
"555","742",1.45652173913043,"undirected"
"555","764",0.913043478260869,"undirected"
"555","765",0.913043478260869,"undirected"
"555","766",0.913043478260869,"undirected"
"555","777",1.51938895417156,"undirected"
"555","780",1.1304347826087,"undirected"
"555","781",1.1304347826087,"undirected"
"555","782",1.15986622073579,"undirected"
"555","786",1,"undirected"
"555","787",1,"undirected"
"555","806",0.956521739130435,"undirected"
"555","825",1.04782608695652,"undirected"
"556","555",1.56521739130435,"undirected"
"558","540",1.59735349716446,"undirected"
"558","555",1.27879325643301,"undirected"
"558","561",1.29638234317955,"undirected"
"558","58",1.64596273291925,"undirected"
"558","642",0.953177257525083,"undirected"
"558","662",1.60869565217391,"undirected"
"558","668",1.43478260869565,"undirected"
"558","673",1.43478260869565,"undirected"
"558","724",0.952569169960474,"undirected"
"558","777",1.52173913043478,"undirected"
"558","825",1.01690821256039,"undirected"
"561","3",1.2554347826087,"undirected"
"561","391",1.68115942028985,"undirected"
"561","540",1.56132381570409,"undirected"
"561","555",1.30950080515298,"undirected"
"561","558",1.29638234317955,"undirected"
"561","575",1.78260869565217,"undirected"
"561","58",1.29644268774704,"undirected"
"561","588",0.741687979539642,"undirected"
"561","619",1.50724637681159,"undirected"
"561","623",1.48792270531401,"undirected"
"561","662",1.60869565217391,"undirected"
"561","668",1.43478260869565,"undirected"
"561","673",1.43478260869565,"undirected"
"561","721",0.940217391304348,"undirected"
"561","723",0.94927536231884,"undirected"
"561","724",0.965217391304348,"undirected"
"561","740",1.68115942028985,"undirected"
"561","825",1.02173913043478,"undirected"
"57","1",1.71739130434783,"undirected"
"57","128",0.888888888888889,"undirected"
"57","188",1.77018633540373,"undirected"
"57","58",1.31379962192817,"undirected"
"57","59",1.13913043478261,"undirected"
"575","555",1.78260869565217,"undirected"
"575","561",1.78260869565217,"undirected"
"577","425",1.279176201373,"undirected"
"577","555",1.34782608695652,"undirected"
"58","1",1.63285024154589,"undirected"
"58","122",1.69565217391304,"undirected"
"58","128",1.1304347826087,"undirected"
"58","15",1.69565217391304,"undirected"
"58","473",1.69565217391304,"undirected"
"58","5",1.55242966751918,"undirected"
"58","555",1.3304347826087,"undirected"
"58","558",1.64596273291925,"undirected"
"58","561",1.29644268774704,"undirected"
"58","57",1.31379962192817,"undirected"
"58","59",1.38695652173913,"undirected"
"588","555",0.973084886128364,"undirected"
"588","561",0.741687979539642,"undirected"
"59","57",1.13913043478261,"undirected"
"59","58",1.38695652173913,"undirected"
"591","555",1.54037267080745,"undirected"
"595","555",1.11594202898551,"undirected"
"60","15",1.69565217391304,"undirected"
"608","903",1.1304347826087,"undirected"
"619","540",1.50621118012422,"undirected"
"619","555",1.50127877237852,"undirected"
"619","561",1.50724637681159,"undirected"
"623","561",1.48792270531401,"undirected"
"637","555",1.30434782608696,"undirected"
"642","558",0.953177257525083,"undirected"
"642","644",0.962732919254658,"undirected"
"643","555",0.956521739130435,"undirected"
"643","644",0.93167701863354,"undirected"
"644","555",0.944099378881987,"undirected"
"644","642",0.962732919254658,"undirected"
"644","643",0.93167701863354,"undirected"
"652","555",1.47826086956522,"undirected"
"652","654",1.47826086956522,"undirected"
"654","555",1.47826086956522,"undirected"
"654","652",1.47826086956522,"undirected"
"654","655",1.47826086956522,"undirected"
"655","555",1.47826086956522,"undirected"
"655","654",1.47826086956522,"undirected"
"662","555",1.60869565217391,"undirected"
"662","558",1.60869565217391,"undirected"
"662","561",1.60869565217391,"undirected"
"662","664",1.60869565217391,"undirected"
"664","662",1.60869565217391,"undirected"
"668","558",1.43478260869565,"undirected"
"668","561",1.43478260869565,"undirected"
"673","558",1.43478260869565,"undirected"
"673","561",1.43478260869565,"undirected"
"676","555",1.26086956521739,"undirected"
"68","1",1.15942028985507,"undirected"
"68","128",1.19732441471572,"undirected"
"68","47",1.2695652173913,"undirected"
"68","555",1.32411067193676,"undirected"
"696","22",1.26086956521739,"undirected"
"696","541",1.26086956521739,"undirected"
"696","555",1.32608695652174,"undirected"
"71","5",1.04347826086956,"undirected"
"711","555",0.695652173913043,"undirected"
"721","555",0.940503432494279,"undirected"
"721","561",0.940217391304348,"undirected"
"721","723",0.928853754940711,"undirected"
"721","724",0.942028985507246,"undirected"
"723","555",0.94927536231884,"undirected"
"723","561",0.94927536231884,"undirected"
"723","721",0.928853754940711,"undirected"
"723","724",0.952569169960474,"undirected"
"724","555",0.963210702341137,"undirected"
"724","558",0.952569169960474,"undirected"
"724","561",0.965217391304348,"undirected"
"724","721",0.942028985507246,"undirected"
"724","723",0.952569169960474,"undirected"
"740","391",1.48296122209166,"undirected"
"740","540",1.6832298136646,"undirected"
"740","555",1.50434782608696,"undirected"
"740","561",1.68115942028985,"undirected"
"740","742",1.39697542533081,"undirected"
"740","782",1.34575569358178,"undirected"
"742","391",1.42911153119093,"undirected"
"742","555",1.45652173913043,"undirected"
"742","740",1.39697542533081,"undirected"
"742","782",1.33794466403162,"undirected"
"764","555",0.913043478260869,"undirected"
"764","765",0.913043478260869,"undirected"
"764","766",0.913043478260869,"undirected"
"765","555",0.913043478260869,"undirected"
"765","764",0.913043478260869,"undirected"
"765","766",0.913043478260869,"undirected"
"766","555",0.913043478260869,"undirected"
"766","764",0.913043478260869,"undirected"
"766","765",0.913043478260869,"undirected"
"777","555",1.51938895417156,"undirected"
"777","558",1.52173913043478,"undirected"
"780","555",1.1304347826087,"undirected"
"780","782",1.1304347826087,"undirected"
"781","555",1.1304347826087,"undirected"
"782","261",1.42533081285444,"undirected"
"782","391",1.32608695652174,"undirected"
"782","540",1.68599033816425,"undirected"
"782","555",1.15986622073579,"undirected"
"782","740",1.34575569358178,"undirected"
"782","742",1.33794466403162,"undirected"
"782","780",1.1304347826087,"undirected"
"782","800",1.06159420289855,"undirected"
"782","803",0.956521739130435,"undirected"
"782","807",1.45577211394303,"undirected"
"782","888",1.36645962732919,"undirected"
"782","896",1.52173913043478,"undirected"
"782","903",1.1304347826087,"undirected"
"782","909",1.43478260869565,"undirected"
"782","912",1.43478260869565,"undirected"
"782","914",1.49689440993789,"undirected"
"782","934",1.31159420289855,"undirected"
"782","937",1.33913043478261,"undirected"
"782","938",1.34782608695652,"undirected"
"786","555",1,"undirected"
"786","787",1,"undirected"
"787","555",1,"undirected"
"787","786",1,"undirected"
"8","1",1.29573420836751,"undirected"
"8","115",1.32367149758454,"undirected"
"8","122",1.53177257525084,"undirected"
"8","128",1.42467138523761,"undirected"
"8","15",1.07608695652174,"undirected"
"8","194",1.16576086956522,"undirected"
"8","2",1.23715415019763,"undirected"
"8","5",0.881987577639751,"undirected"
"800","782",1.06159420289855,"undirected"
"800","801",1.04743083003953,"undirected"
"801","800",1.04743083003953,"undirected"
"803","782",0.956521739130435,"undirected"
"806","555",0.956521739130435,"undirected"
"807","309",1.65942028985507,"undirected"
"807","782",1.45577211394303,"undirected"
"807","888",1.48913043478261,"undirected"
"807","914",1.54849498327759,"undirected"
"807","950",1.56126482213439,"undirected"
"825","555",1.04782608695652,"undirected"
"825","558",1.01690821256039,"undirected"
"825","561",1.02173913043478,"undirected"
"85","1",1.07478260869565,"undirected"
"85","129",1.30434782608696,"undirected"
"85","134",1.30434782608696,"undirected"
"85","5",0.823529411764706,"undirected"
"870","872",1.21739130434783,"undirected"
"872","870",1.21739130434783,"undirected"
"888","1006",1,"undirected"
"888","28",1.2554347826087,"undirected"
"888","309",1.66459627329193,"undirected"
"888","475",1.43478260869565,"undirected"
"888","782",1.36645962732919,"undirected"
"888","807",1.48913043478261,"undirected"
"888","896",1.52173913043478,"undirected"
"888","902",1.1304347826087,"undirected"
"888","903",1.1304347826087,"undirected"
"888","909",1.43478260869565,"undirected"
"888","912",1.43478260869565,"undirected"
"888","914",1.09618820726623,"undirected"
"888","930",1.43478260869565,"undirected"
"888","934",1.32919254658385,"undirected"
"888","937",1.29951690821256,"undirected"
"888","938",1.31400966183575,"undirected"
"888","950",1.21037868162693,"undirected"
"895","261",1.52173913043478,"undirected"
"896","782",1.52173913043478,"undirected"
"896","888",1.52173913043478,"undirected"
"902","888",1.1304347826087,"undirected"
"903","608",1.1304347826087,"undirected"
"903","782",1.1304347826087,"undirected"
"903","888",1.1304347826087,"undirected"
"909","782",1.43478260869565,"undirected"
"909","888",1.43478260869565,"undirected"
"909","910",1.43478260869565,"undirected"
"909","912",1.43478260869565,"undirected"
"910","909",1.43478260869565,"undirected"
"912","782",1.43478260869565,"undirected"
"912","888",1.43478260869565,"undirected"
"912","909",1.43478260869565,"undirected"
"914","1003",1,"undirected"
"914","782",1.49689440993789,"undirected"
"914","807",1.54849498327759,"undirected"
"914","888",1.09618820726623,"undirected"
"914","950",1.25374198146828,"undirected"
"914","969",1.73913043478261,"undirected"
"921","1049",0.427769985974754,"undirected"
"921","1052",0.512338425381903,"undirected"
"921","1056",0.477225672877847,"undirected"
"930","888",1.43478260869565,"undirected"
"934","782",1.31159420289855,"undirected"
"934","888",1.32919254658385,"undirected"
"934","937",1.33695652173913,"undirected"
"934","938",1.34782608695652,"undirected"
"937","782",1.33913043478261,"undirected"
"937","888",1.29951690821256,"undirected"
"937","934",1.33695652173913,"undirected"
"937","938",1.31521739130435,"undirected"
"938","782",1.34782608695652,"undirected"
"938","888",1.31400966183575,"undirected"
"938","934",1.34782608695652,"undirected"
"938","937",1.31521739130435,"undirected"
"950","309",1.66459627329193,"undirected"
"950","807",1.56126482213439,"undirected"
"950","888",1.21037868162693,"undirected"
"950","914",1.25374198146828,"undirected"
"950","973",1.65217391304348,"undirected"
"969","914",1.73913043478261,"undirected"
"973","950",1.65217391304348,"undirected"
"99","100",1.52173913043478,"undirected"
"99","5",1.52173913043478,"undirected"
