"source","target","weight","type"
"1001","1006",9,"undirected"
"1001","888",8,"undirected"
"1001","914",6,"undirected"
"1002","1001",6,"undirected"
"1002","1002",12,"undirected"
"1002","1003",7,"undirected"
"1002","914",9,"undirected"
"1003","1001",7,"undirected"
"1003","1002",7,"undirected"
"1003","1003",15,"undirected"
"1003","1006",6,"undirected"
"1003","888",7,"undirected"
"1003","914",12,"undirected"
"1004","1004",7,"undirected"
"1006","1001",9,"undirected"
"1006","1003",6,"undirected"
"1006","1006",13,"undirected"
"1006","888",12,"undirected"
"101","1",17.6086956521739,"undirected"
"101","101",39.7391304347826,"undirected"
"101","5",12.1739130434783,"undirected"
"1013","1013",6.30434782608695,"undirected"
"1013","888",5.04347826086956,"undirected"
"1013","914",6.30434782608695,"undirected"
"1013","950",6.30434782608695,"undirected"
"1015","1015",6.30434782608695,"undirected"
"1015","888",6.30434782608695,"undirected"
"1015","914",5.04347826086956,"undirected"
"1015","950",6.30434782608695,"undirected"
"1016","1016",7.56521739130435,"undirected"
"1016","1017",5.04347826086956,"undirected"
"1016","888",7.56521739130435,"undirected"
"1016","914",5.04347826086956,"undirected"
"1016","950",7.56521739130435,"undirected"
"1017","1016",5.04347826086956,"undirected"
"1017","1017",8.82608695652174,"undirected"
"1017","888",6.30434782608695,"undirected"
"1017","914",7.56521739130435,"undirected"
"1017","950",7.56521739130435,"undirected"
"1019","1019",7.17391304347826,"undirected"
"1019","807",7.17391304347826,"undirected"
"102","102",7.69565217391304,"undirected"
"1020","1020",5.39130434782609,"undirected"
"1020","950",5.39130434782609,"undirected"
"1026","1026",6.52173913043478,"undirected"
"1026","914",5.43478260869565,"undirected"
"1027","1027",9.78260869565217,"undirected"
"1027","888",7.60869565217391,"undirected"
"1027","914",7.60869565217391,"undirected"
"1027","950",5.43478260869565,"undirected"
"1028","1028",16.304347826087,"undirected"
"1028","888",9.78260869565217,"undirected"
"1030","1030",6.52173913043478,"undirected"
"1030","888",5.43478260869565,"undirected"
"1030","914",5.43478260869565,"undirected"
"1031","1031",5.43478260869565,"undirected"
"1031","888",5.43478260869565,"undirected"
"1031","950",5.43478260869565,"undirected"
"1039","1039",9.08695652173913,"undirected"
"1039","888",5.78260869565217,"undirected"
"104","104",9.13043478260869,"undirected"
"1040","1040",7.43478260869565,"undirected"
"1040","888",7.43478260869565,"undirected"
"1040","914",6.60869565217391,"undirected"
"1046","1046",5.78260869565217,"undirected"
"1048","1048",18.0869565217391,"undirected"
"1048","1049",16.3913043478261,"undirected"
"1048","1052",8.47826086956522,"undirected"
"1048","1056",10.8695652173913,"undirected"
"1048","921",9.91304347826087,"undirected"
"1049","1048",16.3913043478261,"undirected"
"1049","1049",75.6086956521739,"undirected"
"1049","1052",45.1304347826087,"undirected"
"1049","1056",59.1739130434782,"undirected"
"1049","1078",6.08695652173913,"undirected"
"1049","1112",5.47826086956522,"undirected"
"1049","921",53.0434782608695,"undirected"
"1049","958",5.21739130434783,"undirected"
"1052","1048",8.47826086956522,"undirected"
"1052","1049",45.1304347826087,"undirected"
"1052","1052",83.0869565217391,"undirected"
"1052","1056",64.0869565217391,"undirected"
"1052","1111",7.30434782608695,"undirected"
"1052","1112",6.69565217391304,"undirected"
"1052","1115",5.47826086956522,"undirected"
"1052","1121",5.73913043478261,"undirected"
"1052","921",56.8695652173913,"undirected"
"1055","1055",9.08695652173913,"undirected"
"1055","1056",5.78260869565217,"undirected"
"1056","1048",10.8695652173913,"undirected"
"1056","1049",59.1739130434782,"undirected"
"1056","1052",64.0869565217391,"undirected"
"1056","1055",5.78260869565217,"undirected"
"1056","1056",96,"undirected"
"1056","1078",6.08695652173913,"undirected"
"1056","1079",5.65217391304348,"undirected"
"1056","1111",6.08695652173913,"undirected"
"1056","1112",9.7391304347826,"undirected"
"1056","1115",5.47826086956522,"undirected"
"1056","921",60.1304347826087,"undirected"
"1056","958",7.30434782608696,"undirected"
"106","106",12.0434782608696,"undirected"
"1078","1049",6.08695652173913,"undirected"
"1078","1056",6.08695652173913,"undirected"
"1078","1078",7.39130434782609,"undirected"
"1078","921",5.21739130434783,"undirected"
"1079","1056",5.65217391304348,"undirected"
"1079","1079",5.65217391304348,"undirected"
"108","1",7.82608695652174,"undirected"
"108","108",13.0434782608696,"undirected"
"108","5",8.69565217391304,"undirected"
"1085","1085",9.91304347826087,"undirected"
"109","109",5.21739130434783,"undirected"
"110","110",12.1739130434783,"undirected"
"1111","1052",7.30434782608695,"undirected"
"1111","1056",6.08695652173913,"undirected"
